id,name,type,parent_id
"PROF Root","PROF Root","PROF Level","eCat Philips"
"PROF-ECCONTRO","Lighting Controls","PROF Level","PROF Root"
"PROF-OUTMSYS","Outdoor Lighting Management Systems","PROF Level","PROF-ECCONTRO"
"PROF-INBSYS","Installer Based Systems","PROF Level","PROF-ECCONTRO"
"PROF-ECLMSYS","Dynalite","PROF Level","PROF-ECCONTRO"
"PROF-ECSACON","Installer Based Smart Sensors","PROF Level","PROF-ECCONTRO"
"PROF-ECLBCON","Luminaire Based Systems","PROF Level","PROF-ECCONTRO"
"PROF-ECINDACC","Indoor Accessories","PROF Level","PROF-ECCONTRO"
"PROF-ECSSBS","Color Kinetics Controls","PROF Level","PROF-ECCONTRO"
"PROF-ECOUTLBC","Outdoor Stand Alone","PROF Level","PROF-ECCONTRO"
"PROF-LCMODULARW","Modular Wiring","PROF Level","PROF-ECCONTRO"
"PROF-LCSRSOL","Standalone & Room Solutions","PROF Level","PROF-ECCONTRO"
"PROF-EP01","Conventional Lamps and Tubes","PROF Level","PROF Root"
"PROF-EP01LCFN","Compact Fluorescent Non Integrated","PROF Level","PROF-EP01"
"PROF-EP01LPLQ","PL-Q","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLC","PL-C","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLT","PL-T","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLS","PL-S","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLL","PL-L","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLR","PL-R","PROF Level","PROF-EP01LCFN"
"PROF-SPLAMPS","Special Lamps","PROF Level","PROF-EP01"
"PROF-MLMP","Medical Lamps","PROF Level","PROF-SPLAMPS"
"PROF-MLMPUVA","Medical therapy UVA (PUVA)","PROF Level","PROF-MLMP"
"PROF-MLMPUVBN","Medical therapy UVB Narrow band","PROF Level","PROF-MLMP"
"PROF-MLMPUVBB","Medical Therapy UVB Broad band","PROF Level","PROF-MLMP"
"PROF-MLMPMTJ","Medical therapy Jaundice","PROF Level","PROF-MLMP"
"PROF-INSECTT","Insect Trap","PROF Level","PROF-SPLAMPS"
"PROF-INSACTBL","Actinic BL","PROF Level","PROF-INSECTT"
"PROF-INSACBLS","Actinic BL Secura","PROF Level","PROF-INSECTT"
"PROF-MINACBLS","MASTER Actinic BL Secura","PROF Level","PROF-INSECTT"
"PROF-MINACTBL","MASTER Actinic BL","PROF Level","PROF-INSECTT"
"PROF-GX01UVHR","Reprography","PROF Level","PROF-SPLAMPS"
"PROF-GX01ROFF","Offset print","PROF Level","PROF-GX01UVHR"
"PROF-GX01RFLE","Flexo print","PROF Level","PROF-GX01UVHR"
"PROF-GX01SCIE","Optical & medical equipment","PROF Level","PROF-SPLAMPS"
"PROF-SCIEHID","HID","PROF Level","PROF-GX01SCIE"
"PROF-SCIEHAL","Halogen","PROF Level","PROF-GX01SCIE"
"PROF-GX01ENT","Entertainment","PROF Level","PROF-SPLAMPS"
"PROF-GX01FILM","Film/Studio","PROF Level","PROF-GX01ENT"
"PROF-GX01THEA","Theater","PROF Level","PROF-GX01ENT"
"PROF-GX01DJ","DJ/Club","PROF Level","PROF-GX01ENT"
"PROF-GX01ARCH","Architainment","PROF Level","PROF-GX01ENT"
"PROF-GX01TOUR","Touring/Stage","PROF Level","PROF-GX01ENT"
"PROF-GX01DISI","Purification(water and air)","PROF Level","PROF-SPLAMPS"
"PROF-GX01DRES","Residential water and air","PROF Level","PROF-GX01DISI"
"PROF-GX01DMUN","Municipal and industrial water","PROF Level","PROF-GX01DISI"
"PROF-GX01DCOM","Commercial and professional air","PROF Level","PROF-GX01DISI"
"PROF-GX01IR","InfraRed","PROF Level","PROF-SPLAMPS"
"PROF-CINEMA","Cinema","PROF Level","PROF-SPLAMPS"
"PROF-DLTIDI","Digital Cinema Xenon","PROF Level","PROF-CINEMA"
"PROF-DLTIHE","Helios Cinema Xenon","PROF Level","PROF-CINEMA"
"PROF-DLTIST","Standard Cinema Xenon","PROF Level","PROF-CINEMA"
"PROF-EP01LTRF","Traffic Lamps","PROF Level","PROF-SPLAMPS"
"PROF-BLB","Colored and BlackLightBlue (BLB)","PROF Level","PROF-SPLAMPS"
"PROF-LP01LINC","Incandescent Lamps","PROF Level","PROF-EP01"
"PROF-EP01ISTD","Standard (T/A/E-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01ICAN","Candle (B-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01ILUS","Lustre (P-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01IGLB","Globe (G-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01ITUB","Tubular (T-shape)","PROF Level","PROF-LP01LINC"
"PROF-LP01LPRA","Domestic Appliances","PROF Level","PROF-LP01LINC"
"PROF-LP01LSPO","Reflector (NR/R/PAR/E/A/P/PC-shape)","PROF Level","PROF-LP01LINC"
"PROF-LP01IGLS","GLS Specialties","PROF Level","PROF-LP01LINC"
"PROF-EP01LSSL","LED Lamps and Systems","PROF Level","PROF-EP01"
"PROF-EP01LHID","High Intensity Discharge Lamps","PROF Level","PROF-EP01"
"PROF-EP01LSON","SON High Pressure Sodium","PROF Level","PROF-EP01LHID"
"PROF-EP01LHPL","HPL High Pressure Mercury","PROF Level","PROF-EP01LHID"
"PROF-EP01LSOX","SOX Low Pressure Sodium","PROF Level","PROF-EP01LHID"
"PROF-EP01LML","ML Mixed Light","PROF Level","PROF-EP01LHID"
"PROF-EP01LMHN","Quartz Metal Halide","PROF Level","PROF-EP01LHID"
"PROF-EP01LCDO","Ceramic Metal Halide","PROF Level","PROF-EP01LHID"
"PROF-HIDHORTI","HID Horticulture","PROF Level","PROF-EP01LHID"
"PROF-EP01LHAL","Halogen Lamps","PROF Level","PROF-EP01"
"PROF-EP01LLVC","LV Halogen without Reflector","PROF Level","PROF-EP01LHAL"
"PROF-EP01LDIR","LV Halogen with Reflector","PROF Level","PROF-EP01LHAL"
"PROF-EP01LMVC","MV Halogen with Reflector","PROF Level","PROF-EP01LHAL"
"PROF-EP01LMVD","MV Halogen without Reflector","PROF Level","PROF-EP01LHAL"
"PROF-FLLMPST","Fluorescent Lamps and Starters","PROF Level","PROF-EP01"
"PROF-EP01LTL5","TL5","PROF Level","PROF-FLLMPST"
"PROF-EP01LTLD","TL-D","PROF Level","PROF-FLLMPST"
"PROF-EP01LTL","TL","PROF Level","PROF-FLLMPST"
"PROF-EP01LTMI","TL Miniature","PROF Level","PROF-FLLMPST"
"PROF-FLSTARTE","Starters for Fluorescent Lamps","PROF Level","PROF-FLLMPST"
"PROF-EP01LCFI","Compact Fluorescent Integrated","PROF Level","PROF-EP01"
"PROF-EP01LAMB","Energy Saver Bulb shape","PROF Level","PROF-EP01LCFI"
"PROF-EP01LPL","Energy Saver Stick shape","PROF Level","PROF-EP01LCFI"
"PROF-EP01LSL","Energy Saver Specialties","PROF Level","PROF-EP01LCFI"
"PROF-EP01ESR","Energy Saver Reflectors","PROF Level","PROF-EP01LCFI"
"PROF-EP01TWIST","Energy Saver Twister shape","PROF Level","PROF-EP01LCFI"
"PROF-EP01LCHD","Compact High Intensity Discharge","PROF Level","PROF-EP01"
"PROF-EP01LCDM","MASTERColour CDM","PROF Level","PROF-EP01LCHD"
"PROF-EP01LSDW","MASTER SDW White SON","PROF Level","PROF-EP01LCHD"
"PROF-EP01LMNW","MHN Low Wattage Metal Halide","PROF Level","PROF-EP01LCHD"
"PROF-DPLRMP","Lamp Replacement for Projection","PROF Level","PROF-EP01"
"PROF-DPLPRM","Lamp Replacement for Projectors","PROF Level","PROF-DPLRMP"
"PROF-DPLPTVRM","Lamp Replacement for TV’s","PROF Level","PROF-DPLRMP"
"PROF-CINDOOR","Indoor Luminaires","PROF Level","PROF Root"
"PROF-LESUSP","Suspended","PROF Level","PROF-CINDOOR"
"PROF-LESURF","Surface mounted","PROF Level","PROF-CINDOOR"
"PROF-CHLBAY","High-bay and low-bay","PROF Level","PROF-CINDOOR"
"PROF-OCHLBACC","High-bay and Low-bay accessories","PROF Level","PROF-CHLBAY"
"PROF-CILWBAY","Low-bay","PROF Level","PROF-CHLBAY"
"PROF-CIHLBAY","High-bay","PROF Level","PROF-CHLBAY"
"PROF-HLBPROTECTED","Protected","PROF Level","PROF-CHLBAY"
"PROF-HLBINDLIN","Industrial Linear","PROF Level","PROF-CHLBAY"
